Date,Close,Open,High,Low,Volume,RSI,MACD,MACD Signal,Upper_Bollinger_Band,Middle_Bollinger_Band,Lower Bollinger Band,ADX,Stochastic SlowK,Stochastic SlowD,wk_close,wk_rsi,wk_macd,mon_close,mon_rsi,mon_macd,rolling_mean_close,rolling_std_close,lag1_close,day_of_week
1/1/1996,-1.046164562,-1.083569977,-1.085930174,-1.079582131,0.337264025,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,,,,0
1/2/1996,-1.049180772,-1.082062274,-1.086034164,-1.085620081,0.690979395,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,,,-1.046164562,1
1/3/1996,-1.051626952,-1.086269798,-1.088945555,-1.086330433,1.036026399,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,,,-1.049180772,2
1/4/1996,-1.051935687,-1.09240577,-1.094352432,-1.089491477,1.541762676,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,,,-1.051626952,3
1/5/1996,-1.052434445,-1.090652637,-1.094699029,-1.087715611,1.272620569,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,,,-1.051935687,4
1/8/1996,-1.055023148,-1.092581084,-1.095738806,-1.091764582,0.669014458,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,,,-1.052434445,0
1/9/1996,-1.050320738,-1.096963923,-1.088113731,-1.093398386,1.427505792,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,-1.050955186,0.002788378,-1.055023148,1
1/10/1996,-1.054476892,-1.093107029,-1.09521891,-1.090770106,0.639587181,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,-1.052142662,0.002090931,-1.050320738,2
1/11/1996,-1.051175722,-1.096262665,-1.093659238,-1.091302855,0.969935611,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,-1.052427655,0.001723639,-1.054476892,3
1/12/1996,-1.051128216,-1.089600763,-1.091406373,-1.086863197,1.999167035,39.35376086,0.981558324,0.770101279,12.10429363,11.57434373,11.04439383,30.04704576,-178.8448553,-178.9723723,11.39768887,76.94076286,1.06096675,12.02783394,61.88128332,-0.983811679,-1.052356407,0.001771886,-1.051175722,4
